date,time,timestring,Blackwater,Clearwater,Clocktower,Eagle,ElksFork,Goff,Grinnell,Gunbarrel,Kitty,Libby,Middle,Mormon,Moss,NFShoshone,Sweetwater,Trout
2017-05-25,12:00:00,05/25/17 12:00:00,17.57,17.189,17.76,16.999,17.094,17.57,17.855,17.665,17.57,17.855,17.475,17.95,16.903,17.189,18.806,17.665
2017-05-25,12:30:00,05/25/17 12:30:00,18.236,17.284,18.045,17.57,17.284,17.95,17.95,17.855,18.045,18.426,18.045,18.616,17.284,17.475,19.187,17.95
2017-05-25,13:00:00,05/25/17 13:00:00,18.236,17.379,17.665,17.855,17.475,17.855,17.855,17.95,18.045,17.379,17.95,17.76,17.475,17.57,17.95,17.665
2017-05-25,13:30:00,05/25/17 13:30:00,17.95,17.189,17.475,17.665,17.475,17.665,17.57,17.76,17.855,18.14,17.855,18.14,17.379,17.475,17.855,17.284
2017-05-25,14:00:00,05/25/17 14:00:00,18.996,18.996,19.282,18.616,18.901,18.616,18.331,19.758,18.521,18.236,18.901,19.187,18.806,18.711,20.043,19.282
2017-05-25,14:30:00,05/25/17 14:30:00,19.948,20.234,20.043,18.996,19.853,19.092,18.426,21.378,18.711,18.616,19.853,19.662,19.948,18.996,21.855,20.615
2017-05-25,15:00:00,05/25/17 15:00:00,21.951,22.429,21.951,20.043,21.855,19.948,19.092,24.545,19.282,19.472,21.664,21.282,22.046,20.043,25.902,23.196
2017-05-25,15:30:00,05/25/17 15:30:00,22.812,23.388,22.525,20.901,22.717,20.805,19.853,24.641,20.234,20.329,22.333,22.046,22.908,20.901,25.708,23.484
2017-05-25,16:00:00,05/25/17 16:00:00,23.484,24.158,23.196,21.664,23.484,21.569,20.615,24.835,20.996,21.187,22.908,22.717,23.677,21.664,25.902,23.966
2017-05-25,16:30:00,05/25/17 16:30:00,24.062,24.835,23.773,22.333,24.062,22.238,21.282,25.028,21.76,21.855,23.484,23.292,24.255,22.238,26.195,24.255
2017-05-25,17:00:00,05/25/17 17:00:00,24.835,25.513,24.545,23.004,24.835,22.908,21.951,26.195,22.429,22.525,24.255,23.966,25.028,22.812,27.37,25.222
2017-05-25,17:30:00,05/25/17 17:30:00,25.222,25.805,25.028,23.581,25.319,23.581,22.525,26.097,23.004,23.1,24.641,24.448,25.416,23.484,27.173,25.416
2017-05-25,18:00:00,05/25/17 18:00:00,25.125,25.61,25.028,23.966,25.222,23.966,23.1,25.125,23.581,23.581,24.545,24.545,25.319,23.773,26.097,24.835
2017-05-25,18:30:00,05/25/17 18:30:00,24.255,24.545,24.351,23.966,24.545,23.966,23.388,22.621,23.773,23.677,23.869,23.869,24.448,23.677,23.677,23.292
2017-05-25,19:00:00,05/25/17 19:00:00,23.484,23.677,23.773,23.581,23.869,23.773,23.292,21.76,23.677,23.484,23.388,23.484,23.677,23.388,22.525,22.525
2017-05-25,19:30:00,05/25/17 19:30:00,22.717,22.812,23.292,23.292,23.196,23.388,23.004,20.805,23.292,23.196,22.812,22.908,23.004,23.004,21.378,21.76
2017-05-25,20:00:00,05/25/17 20:00:00,22.046,22.333,22.717,22.908,22.621,23.004,22.525,20.234,22.812,22.717,22.238,22.429,22.333,22.525,20.615,20.996
2017-05-25,20:30:00,05/25/17 20:30:00,21.378,21.569,22.142,22.429,21.951,22.525,22.046,19.377,22.333,22.238,21.569,21.855,21.569,22.046,19.662,20.234
2017-05-25,21:00:00,05/25/17 21:00:00,20.615,20.615,21.473,21.855,21.187,21.951,21.664,18.711,21.855,21.664,20.901,21.282,20.805,21.569,18.711,19.567
2017-05-25,21:30:00,05/25/17 21:30:00,19.853,19.758,20.71,21.282,20.424,21.378,21.187,17.855,21.282,21.091,20.234,20.71,20.043,21.091,17.855,18.806
2017-05-25,22:00:00,05/25/17 22:00:00,19.377,19.092,20.043,20.71,19.853,20.71,20.71,18.616,20.71,20.519,19.853,20.138,19.472,20.519,18.14,18.901
2017-05-25,22:30:00,05/25/17 22:30:00,18.996,18.806,19.662,20.234,19.472,20.138,20.234,17.95,20.234,20.043,19.377,19.662,19.092,20.138,17.665,18.331
2017-05-25,23:00:00,05/25/17 23:00:00,18.426,18.236,19.187,19.758,18.901,19.662,19.853,16.999,19.758,19.567,18.806,19.092,18.521,19.662,16.808,17.57
2017-05-25,23:30:00,05/25/17 23:30:00,17.855,17.57,18.616,19.187,18.331,19.187,19.377,16.141,19.282,19.092,18.14,18.521,17.95,19.187,16.046,16.808
2017-05-26,00:00:00,05/26/17 00:00:00,17.189,16.999,18.045,18.711,17.76,18.616,18.901,15.378,18.806,18.521,17.475,17.95,17.284,18.711,15.282,16.046
2017-05-26,00:30:00,05/26/17 00:30:00,16.427,16.237,17.379,18.14,17.094,18.045,18.426,14.421,18.236,17.95,16.808,17.284,16.523,18.14,14.325,15.091
2017-05-26,01:00:00,05/26/17 01:00:00,15.664,15.378,16.713,17.475,16.427,17.379,17.76,13.461,17.57,17.379,16.046,16.618,15.76,17.475,13.365,14.23
2017-05-26,01:30:00,05/26/17 01:30:00,14.9,14.709,16.046,16.808,15.664,16.808,17.094,12.787,16.903,16.713,15.378,15.951,15.091,16.903,12.594,13.558
