individual,location,basin,PC1,PC2,PC3,PC4,PC5
ar_mo_w_10,ar_mo,Arkansas,-0.689204,-0.469043,0.204849,0.005455,-0.09329
ar_mo_w_11,ar_mo,Arkansas,-0.671059,-0.449057,0.196502,0.011505,-0.066988
ar_mo_w_12,ar_mo,Arkansas,-0.720827,-0.412504,0.181836,0.009411,-0.057961
ar_mo_w_13,ar_mo,Arkansas,-0.693634,-0.465038,0.21106,0.010816,-0.079193
ar_mo_w_14,ar_mo,Arkansas,-0.689959,-0.43109,0.186017,0.000331,-0.065454
ar_mo_w_15,ar_mo,Arkansas,-0.687547,-0.495327,0.220849,0.008381,-0.088316
ar_mo_w_16,ar_mo,Arkansas,-0.744022,-0.401208,0.180488,0.003888,-0.05712
ar_mo_w_1,ar_mo,Arkansas,-0.617492,-0.385745,0.150305,0.008575,-0.051644
ar_mo_w_2,ar_mo,Arkansas,-0.689794,-0.468046,0.204758,0.006635,-0.094442
ar_mo_w_3,ar_mo,Arkansas,-0.661805,-0.47464,0.198061,0.007186,-0.086407
ar_mo_w_4,ar_mo,Arkansas,-0.675125,-0.451921,0.206316,0.007799,-0.076855
ar_mo_w_5,ar_mo,Arkansas,-0.738061,-0.354533,0.147821,0.004219,-0.044351
ar_mo_w_6,ar_mo,Arkansas,-0.642521,-0.478449,0.214465,0.008302,-0.089486
ar_mo_w_7,ar_mo,Arkansas,-0.783036,-0.37854,0.170066,-0.000359,-0.049583
ar_mo_w_8,ar_mo,Arkansas,-0.650181,-0.505094,0.22325,0.006114,-0.098867
ar_mo_w_9,ar_mo,Bighorn,-0.734988,-0.462937,0.20791,0.008989,-0.078554
bh_bbr_w_10,bh_bbr,Bighorn,0.485589,-0.069776,-0.089991,0.068318,0.013565
bh_bbr_w_11,bh_bbr,Bighorn,0.485448,-0.076007,-0.08804,0.074206,0.014331
bh_bbr_w_12,bh_bbr,Bighorn,0.479336,-0.086818,-0.086802,0.076399,0.010374
bh_bbr_w_13,bh_bbr,Bighorn,0.506155,-0.080161,-0.093337,0.071969,0.010236
bh_bbr_w_14,bh_bbr,Bighorn,0.47986,-0.077802,-0.08322,0.071028,0.012999
bh_bbr_w_1,bh_bbr,Bighorn,0.473435,-0.084058,-0.104309,0.089319,0.011699
bh_bbr_w_2,bh_bbr,Bighorn,0.506642,-0.077306,-0.10112,0.078614,0.007672
bh_bbr_w_3,bh_bbr,Bighorn,0.508523,-0.061268,-0.075373,0.059488,0.00826
bh_bbr_w_4,bh_bbr,Bighorn,0.457791,-0.092787,-0.092384,0.081712,0.0086
bh_bbr_w_5,bh_bbr,Bighorn,0.467417,-0.087053,-0.098067,0.089186,0.002709
bh_bbr_w_7,bh_bbr,Bighorn,0.504727,-0.08957,-0.092873,0.082049,0.006335
bh_bbr_w_8,bh_bbr,Bighorn,0.525947,-0.070362,-0.072056,0.071323,0.014457
bh_bbr_w_9,bh_bbr,Bighorn,0.528645,-0.076068,-0.078385,0.061858,0.013247
bh_lwr_w_1,bh_lwr,Bighorn,0.670981,0.010945,-0.009907,0.008806,-0.003309
bh_lwr_w_3,bh_lwr,Bighorn,0.65426,0.006452,0.000156,0.004625,-0.00162
bh_lwr_w_5,bh_lwr,Bighorn,0.635281,0.003598,0.001561,0.002622,-0.000435
bh_lwr_w_7,bh_lwr,Bighorn,0.63663,0.003978,-0.000247,0.001268,0.001232
bh_pa_w_11,bh_pa,Bighorn,0.654341,0.014882,0.004051,0.002306,0.000467
bh_pa_w_12,bh_pa,Bighorn,0.602633,0.00594,-0.003408,0.005906,-0.000599
bh_pa_w_13,bh_pa,Bighorn,0.646002,0.006451,-0.001852,0.00391,3.20E-05
bh_pa_w_16,bh_pa,Bighorn,0.569491,0.00149,-0.000846,0.005112,-0.001655
bh_pa_w_18,bh_pa,Bighorn,0.60083,0.010743,0.002043,-0.000677,0.000704
bh_pa_w_19,bh_pa,Bighorn,0.694174,0.006367,0.000972,0.009812,-0.001619
bh_pa_w_20,bh_pa,Bighorn,0.360001,-0.090997,-0.013356,0.011073,-0.002462
bh_pa_w_22,bh_pa,Bighorn,0.649268,0.002127,-0.000622,0.005817,-0.001871
bh_pa_w_23,bh_pa,Bighorn,0.721085,0.012899,-0.005259,0.002451,-0.004786
bh_pa_w_24,bh_pa,Bighorn,0.685188,0.022909,0.007912,0.005452,0.001711
bh_pa_w_25,bh_pa,Bighorn,0.216275,-0.080789,-0.004502,0.007511,-0.004765
bh_pa_w_26,bh_pa,Bighorn,0.603371,-0.001587,-0.00117,0.003756,0.000263
bh_pa_w_27,bh_pa,Bighorn,0.679125,0.003882,-0.003319,0.004106,0.001312
bh_pa_w_29,bh_pa,Bighorn,0.452694,-0.064305,-0.010625,0.005939,-0.00338
bh_pa_w_9,bh_pa,Bighorn,0.456104,-0.035472,-0.000663,0.003989,-0.003091
bkf_bkf_fw_142,bkf_bkf,Upper Colorado River Basin,0.771688,0.034317,0.022471,-0.008268,0.001834
bkf_bkf_fw_56,bkf_bkf,Upper Colorado River Basin,0.750572,0.034565,0.021619,-0.008168,-0.003871
bkf_bkf_w_10,bkf_bkf,Upper Colorado River Basin,0.852895,0.042545,0.018455,-0.009417,-0.004572
bkf_bkf_w_112,bkf_bkf,Upper Colorado River Basin,0.820702,0.046297,0.019235,-0.009019,-0.008637
bkf_bkf_w_115,bkf_bkf,Upper Colorado River Basin,0.849169,0.048555,0.015333,-0.007181,-0.009378
bkf_bkf_w_116,bkf_bkf,Upper Colorado River Basin,0.879029,0.052076,0.02884,-0.003948,-0.014426
bkf_bkf_w_120,bkf_bkf,Upper Colorado River Basin,0.841326,0.041777,0.022599,-0.006754,-0.008695
bkf_bkf_w_121,bkf_bkf,Upper Colorado River Basin,0.80721,0.034952,0.02194,-0.007772,-0.002843
bkf_bkf_w_123,bkf_bkf,Upper Colorado River Basin,0.777131,0.037617,0.007122,0.000431,-0.008246
bkf_bkf_w_132,bkf_bkf,Upper Colorado River Basin,0.696163,0.021783,0.013236,-0.005737,-0.002701
bkf_bkf_w_13,bkf_bkf,Upper Colorado River Basin,0.831549,0.037251,0.022381,-0.005578,-0.002115
bkf_bkf_w_14,bkf_bkf,Upper Colorado River Basin,0.804298,0.036597,0.017542,-0.006723,-0.00801
bkf_bkf_w_15,bkf_bkf,Upper Colorado River Basin,0.828517,0.040136,0.027272,-0.00501,-0.009366
bkf_bkf_w_19,bkf_bkf,Upper Colorado River Basin,0.726923,0.024359,0.025614,-0.011581,-0.002166
bkf_bkf_w_1,bkf_bkf,Upper Colorado River Basin,0.815721,0.042602,0.020538,-0.010474,6.50E-05
bkf_bkf_w_21,bkf_bkf,Upper Colorado River Basin,0.80401,0.044988,0.033158,-0.018001,-0.003603
bkf_bkf_w_22,bkf_bkf,Upper Colorado River Basin,0.818765,0.042788,0.030047,-0.005602,-0.005295
bkf_bkf_w_23,bkf_bkf,Upper Colorado River Basin,0.865196,0.034974,0.017692,-0.011182,0.000965
bkf_bkf_w_24,bkf_bkf,Upper Colorado River Basin,0.814151,0.044404,0.026916,-0.007151,-0.003912
bkf_bkf_w_25,bkf_bkf,Upper Colorado River Basin,0.76165,0.04536,0.020104,-0.000873,-0.006811
bkf_bkf_w_27,bkf_bkf,Upper Colorado River Basin,0.770087,0.034535,0.01868,-0.005676,0.001103
bkf_bkf_w_28,bkf_bkf,Upper Colorado River Basin,0.815741,0.037237,0.021987,-0.017096,-0.000778
bkf_bkf_w_2,bkf_bkf,Upper Colorado River Basin,0.838741,0.045012,0.019369,-0.014978,-0.010653
bkf_bkf_w_32,bkf_bkf,Upper Colorado River Basin,0.849091,0.032893,0.02018,-0.005055,-0.00393
bkf_bkf_w_4,bkf_bkf,Upper Colorado River Basin,0.880515,0.047424,0.019059,-0.017975,-0.01611
bkf_bkf_w_5,bkf_bkf,Upper Colorado River Basin,0.782449,0.036993,0.019204,-0.006075,0.000356
bkf_bkf_w_6,bkf_bkf,Upper Colorado River Basin,0.801351,0.029539,0.015613,-0.007857,-0.005728
bkf_bkf_w_7,bkf_bkf,Upper Colorado River Basin,0.783204,0.036815,0.024365,-0.011014,0.003634
bkf_bkf_w_8,bkf_bkf,Upper Colorado River Basin,0.8007,0.03304,0.015099,-0.004209,-0.000694
bkf_bkf_w_9,bkf_bkf,Upper Colorado River Basin,0.793241,0.036845,0.022421,-0.005253,0.002379
bkf_mk_w_64,bkf_mk,Upper Colorado River Basin,0.827325,0.045929,0.02857,-0.010686,-0.01105
bkf_mk_w_67,bkf_mk,Upper Colorado River Basin,0.859502,0.042659,0.033188,-0.023459,-0.013711
bkf_mk_w_68,bkf_mk,Upper Colorado River Basin,0.834744,0.030899,0.031239,-0.008548,-0.009057
bkf_mk_w_69,bkf_mk,Upper Colorado River Basin,0.840846,0.038288,0.024529,-0.013859,-0.009356
bkf_mk_w_71,bkf_mk,Upper Colorado River Basin,0.858839,0.034335,0.026324,-0.015215,-0.003842
bkf_mk_w_72,bkf_mk,Upper Colorado River Basin,0.795566,0.033472,0.015013,-0.013226,0.00025
bkf_mk_w_73,bkf_mk,Upper Colorado River Basin,0.802064,0.024148,0.017706,0.00119,0.000315
bkf_mk_w_74,bkf_mk,Upper Colorado River Basin,0.809413,0.037047,0.025409,-0.012227,-0.001448
bkf_mk_w_75,bkf_mk,Upper Colorado River Basin,0.855933,0.037813,0.015588,-0.008939,-0.006439
bkf_mk_w_76,bkf_mk,Upper Colorado River Basin,0.856369,0.039529,0.022661,-0.005054,-0.005429
bkf_mk_w_77,bkf_mk,Upper Colorado River Basin,0.837754,0.061856,0.031523,-0.005316,-0.017791
bkf_mk_w_79,bkf_mk,Upper Colorado River Basin,0.814248,0.036085,0.017754,-0.00888,-0.001564
bkf_mk_w_80,bkf_mk,Upper Colorado River Basin,0.847794,0.038943,0.026891,-0.007535,-0.008017
bkf_mk_w_82,bkf_mk,Upper Colorado River Basin,0.80627,0.037133,0.019466,-0.008182,-0.007474
bkf_mk_w_83,bkf_mk,Upper Colorado River Basin,0.845819,0.037174,0.015608,-0.002529,-0.008813
bkf_mk_w_84,bkf_mk,Upper Colorado River Basin,0.857768,0.062612,0.026887,-0.012882,-0.014716
bkf_mk_w_85,bkf_mk,Upper Colorado River Basin,0.77506,0.041823,0.023023,-0.010503,-0.005147
bkf_mk_w_87,bkf_mk,Upper Colorado River Basin,0.864421,0.058592,0.021001,-0.008691,-0.009559
bkf_mk_w_88,bkf_mk,Upper Colorado River Basin,0.842092,0.05182,0.019532,-0.012165,-0.010512
bkf_mk_w_92,bkf_mk,Upper Colorado River Basin,0.856843,0.04479,0.029721,-0.006678,-0.004138
bkf_mk_w_93,bkf_mk,Upper Colorado River Basin,0.826668,0.036543,0.021247,-0.007719,-0.01226
bkf_mk_w_96,bkf_mk,Upper Colorado River Basin,0.85455,0.043965,0.024244,-0.005665,-0.005754
bkf_mk_w_97,bkf_mk,Upper Colorado River Basin,0.838515,0.043244,0.019325,-0.004268,-0.008266
bkf_mk_w_99,bkf_mk,Upper Colorado River Basin,0.830918,0.048706,0.030255,-0.008722,-0.008806
bs_bs_bl_21,bs_bs,Upper Colorado River Basin,0.821273,0.043335,0.035638,-0.014888,-0.005245
bs_bs_w_100,bs_bs,Upper Colorado River Basin,0.784904,0.034451,0.024014,-0.01022,0.003405
bs_bs_w_10,bs_bs,Upper Colorado River Basin,0.78015,0.038476,0.029016,-0.012245,-0.002637
bs_bs_w_127,bs_bs,Upper Colorado River Basin,0.769498,0.03838,0.027366,-0.003337,-0.002693
bs_bs_w_130,bs_bs,Upper Colorado River Basin,0.806232,0.037599,0.026714,-0.016852,-0.007449
bs_bs_w_131,bs_bs,Upper Colorado River Basin,0.798949,0.046442,0.0281,-0.01306,-0.003156
bs_bs_w_150,bs_bs,Upper Colorado River Basin,0.762301,0.035748,0.028016,-0.01015,-0.001324
bs_bs_w_153,bs_bs,Upper Colorado River Basin,0.742375,0.028557,0.028517,-0.011559,-0.002219
bs_bs_w_159,bs_bs,Upper Colorado River Basin,0.78569,0.039168,0.030904,-0.012824,-0.003655
bs_bs_w_161,bs_bs,Upper Colorado River Basin,0.780288,0.032512,0.029151,-0.008293,-0.004417
bs_bs_w_162,bs_bs,Upper Colorado River Basin,0.803958,0.039875,0.032325,-0.015092,-0.008827
bs_bs_w_163,bs_bs,Upper Colorado River Basin,0.747399,0.026629,0.026006,-0.00529,-0.002399
bs_bs_w_169,bs_bs,Upper Colorado River Basin,0.609088,0.035726,0.034009,-0.011824,0.001568
bs_bs_w_16,bs_bs,Upper Colorado River Basin,0.831426,0.036798,0.034862,-0.014703,-0.004331
bs_bs_w_173,bs_bs,Upper Colorado River Basin,0.806067,0.036056,0.025298,-0.003118,-0.002709
bs_bs_w_174,bs_bs,Upper Colorado River Basin,0.741518,0.037127,0.025282,-0.007183,0.005869
bs_bs_w_175,bs_bs,Upper Colorado River Basin,0.82768,0.042377,0.037888,-0.019944,-0.00219
bs_bs_w_17,bs_bs,Upper Colorado River Basin,0.799905,0.031665,0.022774,-0.006078,-0.002459
bs_bs_w_23,bs_bs,Upper Colorado River Basin,0.720344,0.032257,0.023729,-0.000183,0.000161
bs_bs_w_24,bs_bs,Upper Colorado River Basin,0.759899,0.044337,0.026004,-0.006672,-0.000131
bs_bs_w_25,bs_bs,Upper Colorado River Basin,0.737117,0.025499,0.017189,-0.001836,-0.001035
bs_bs_w_26,bs_bs,Upper Colorado River Basin,0.821095,0.050253,0.037096,-0.012471,-0.00578
bs_bs_w_27,bs_bs,Upper Colorado River Basin,0.753509,0.040166,0.01798,-0.012664,-0.007503
bs_bs_w_28,bs_bs,Upper Colorado River Basin,0.644128,0.028217,0.016598,-0.009489,0.003004
bs_bs_w_29,bs_bs,Upper Colorado River Basin,0.728927,0.037329,0.035515,-0.011443,0.004957
bs_bs_w_30,bs_bs,Upper Colorado River Basin,0.779597,0.039074,0.027532,-0.009847,-0.005166
bs_bs_w_31,bs_bs,Upper Colorado River Basin,0.77992,0.028898,0.020463,-0.007072,-0.000797
bs_bs_w_32,bs_bs,Upper Colorado River Basin,0.733319,0.030326,0.017264,-0.007659,-0.001937
bs_bs_w_34,bs_bs,Upper Colorado River Basin,0.705334,0.030332,0.023733,-0.002788,0.005056
bs_bs_w_35,bs_bs,Upper Colorado River Basin,0.709105,0.020948,0.019747,-0.006771,-0.002695
bs_bs_w_36,bs_bs,Upper Colorado River Basin,0.68082,0.041784,0.018348,-0.006619,-0.006773
bs_bs_w_37,bs_bs,Upper Colorado River Basin,0.809199,0.041128,0.029053,-0.005782,-0.005432
bs_bs_w_39,bs_bs,Upper Colorado River Basin,0.749958,0.039946,0.027526,-0.009233,0.008451
bs_bs_w_40,bs_bs,Upper Colorado River Basin,0.751667,0.032246,0.021773,-0.002136,-0.003217
bs_bs_w_41,bs_bs,Upper Colorado River Basin,0.714467,0.025849,0.023413,-0.011054,0.004105
bs_bs_w_42,bs_bs,Upper Colorado River Basin,0.599674,0.027495,0.022223,-9.90E-05,0.002586
bs_bs_w_43,bs_bs,Upper Colorado River Basin,0.844984,0.036731,0.024462,-0.008514,-0.006109
bs_bs_w_44,bs_bs,Upper Colorado River Basin,0.801329,0.039761,0.028849,-0.00852,-0.001339
bs_bs_w_45,bs_bs,Upper Colorado River Basin,0.810077,0.033705,0.03027,-0.011413,-0.002038
bs_bs_w_53,bs_bs,Upper Colorado River Basin,0.815037,0.034907,0.026407,-0.016643,-0.005077
bs_bs_w_58,bs_bs,Upper Colorado River Basin,0.655062,0.033278,0.025981,-0.01149,0.004931
bs_bs_w_60,bs_bs,Upper Colorado River Basin,0.737886,0.03502,0.020465,-0.000132,0.002654
bs_bs_w_75,bs_bs,Upper Colorado River Basin,0.816019,0.046045,0.028987,-0.013999,-0.005668
bs_bs_w_76,bs_bs,Upper Colorado River Basin,0.867758,0.043653,0.036973,-0.01766,-0.016161
bs_bs_w_78,bs_bs,Upper Colorado River Basin,0.848977,0.0537,0.043728,-0.01774,-0.013021
bs_bs_w_8,bs_bs,Upper Colorado River Basin,0.779817,0.036301,0.030628,-0.007398,-0.000345
bs_bs_w_98,bs_bs,Upper Colorado River Basin,0.747124,0.024488,0.017492,-0.002942,0.003323
